id,lat,lng,place_name,category,coords,location,created_at
166,31.56778400,-111.06134960,Tumacácori National Historical Park,Parks,"31.567784,-111.0613496",0101000020E6100000DA67DF26EDC35BC02B31CF4A5A913F40,2025-10-22 23:45:02.506891+00
167,38.57485990,-107.73517290,Black Canyon of the Gunnison National Park,Parks,"38.5748599,-107.7351729",0101000020E6100000F399A2120DEF5AC013245B0295494340,2025-10-22 23:45:02.506891+00
168,30.18848980,-99.27442820,UBarU Camp and Retreat Center,Parks,"30.1884898,-99.2744282",0101000020E610000069064C3B90D158C02CA116DE40303E40,2025-10-22 23:45:02.506891+00
169,34.97980420,-106.68224010,Valle de Oro National Wildlife Refuge,Urban Places,"34.9798042,-106.6822401",0101000020E6100000446161D2A9AB5AC0E1BD59396A7D4140,2025-10-22 23:45:02.506891+00
170,35.83210460,-106.49730570,Valles Caldera National Preserve,Parks,"35.8321046,-106.4973057",0101000020E6100000526749DBD39F5AC0F3EC4D6782EA4140,2025-10-22 23:45:02.506891+00
171,48.49286270,-94.10366210,Voyageurs National Park,Parks,"48.4928627,-94.1036621",0101000020E61000006B555C66A28657C08AF5FC1F163F4840,2025-10-22 23:45:02.506891+00
172,45.60050600,17.37869650,Vrani kamen,Parks,"45.600506,17.3786965",0101000020E6100000139CFA40F2603140A1866F61DDCC4640,2025-10-22 23:45:02.506891+00
173,-41.41264090,172.96929540,Wai-Iti,Parks,"-41.4126409,172.9692954",0101000020E61000003965C977049F6540FA3EC16AD1B444C0,2025-10-22 23:45:02.506891+00
174,-40.55764320,175.93512050,Wairarapa Dark Sky Reserve,Reserves,"-40.5576432,175.9351205",0101000020E610000037AAD381ECFD65401C6B35DA604744C0,2025-10-22 23:45:02.506891+00
175,-31.28108600,149.01345400,Warrumbungle Dark Sky Park,Parks,"-31.281086,149.013454",0101000020E6100000034015376EA062400B5D8940F5473FC0,2025-10-22 23:45:02.506891+00
176,49.03593480,-113.97798280,Waterton-Glacier International Peace Park,Parks,"49.0359348,-113.9779828",0101000020E61000003C832B45977E5CC0E764F38299844840,2025-10-22 23:45:02.506891+00
177,38.11650560,-80.12738910,Watoga State Park,Parks,"38.1165056,-80.1273891",0101000020E61000007B979C24270854C083E6CEA7E90E4340,2025-10-22 23:45:02.506891+00
178,29.56684140,-102.94289520,Black Gap Wildlife Management Area,Sanctuaries,"29.5668414,-102.9428952",0101000020E61000008BE31B6558BC59C0D4049B841C913D40,2025-10-22 23:45:02.506891+00
179,50.11726900,-5.79995270,West Penwith,Parks,"50.117269,-5.7999527",0101000020E61000003A63F3CC263317C0D5EAABAB020F4940,2025-10-22 23:45:02.506891+00
180,38.13585800,-105.45834900,"Westcliffe and Silver Cliff, Colorado",Communities,"38.135858,-105.458349",0101000020E6100000E0490B97555D5AC0327381CB63114340,2025-10-22 23:45:02.506891+00
181,52.50237300,12.33039200,Westhavelland,Reserves,"52.502373,12.330392",0101000020E610000056B8E52329A928405BB22AC24D404A40,2025-10-22 23:45:02.506891+00
182,30.02541200,-98.11172250,"Wimberley Valley, Texas",Communities,"30.025412,-98.1117225",0101000020E61000008DEE2076268758C00BED9C6681063E40,2025-10-22 23:45:02.506891+00
183,47.65719080,12.54317810,Winklmoosalm,Parks,"47.6571908,12.5431781",0101000020E61000008DCE9E701B162940B59D00D41ED44740,2025-10-22 23:45:02.506891+00
184,22.47668800,114.52964500,"Xichong, Shenzen",Communities,"22.476688,114.529645",0101000020E61000005B5F24B4E5A15C4049658A39087A3640,2025-10-22 23:45:02.506891+00
185,36.82998610,129.25972430,Yeongyang Firefly Eco Park,Parks,"36.8299861,129.2597243",0101000020E61000003FCF55A94F2860403AD109FC3C6A4240,2025-10-22 23:45:02.506891+00
186,52.75687210,-4.80153750,Ynys Enlli – Bardsey Island,Sanctuaries,"52.7568721,-4.8015375",0101000020E61000000612143FC63413C09F605A2FE1604A40,2025-10-22 23:45:02.506891+00
187,54.26318640,-2.20079220,Yorkshire Dales National Park,Reserves,"54.2631864,-2.2007922",0101000020E6100000CB55E2F0389B01C041608A17B0214B40,2025-10-22 23:45:02.506891+00
188,37.32026320,-113.70254140,Zion National Park,Parks,"37.3202632,-113.7025414",0101000020E610000082453470F66C5CC0600E7162FEA84240,2025-10-22 23:45:02.506891+00
189,30.09903450,-98.42254280,"Blanco, Texas",Communities,"30.0990345,-98.4225428",0101000020E610000042CAF4F00A9B58C0FBAC32535A193E40,2025-10-22 23:45:02.506891+00
190,46.25832360,17.76532270,Zselic National Landscape Protection Area,Parks,"46.2583236,17.7653227",0101000020E6100000EC623F30ECC331407AE46ABF10214740,2025-10-22 23:45:02.506891+00
191,50.55479530,-4.60907710,Bodmin Moor Dark Sky Landscape,Parks,"50.5547953,-4.6090771",0101000020E610000058F844E8B16F12C0BDBC4A8803474940,2025-10-22 23:45:02.506891+00
192,53.84163430,-113.41554630,"Bon Accord, Alberta",Communities,"53.8416343,-113.4155463",0101000020E6100000531E824F985A5CC08FD838ACBAEB4A40,2025-10-22 23:45:02.506891+00
193,33.25490990,-116.35298400,"Borrego Springs, California",Communities,"33.2549099,-116.352984",0101000020E6100000B900344A97165DC09CF639E3A0A04040,2025-10-22 23:45:02.506891+00
194,48.00104160,-91.33624790,Boundary Waters Canoe Area Wilderness,Sanctuaries,"48.0010416,-91.3362479",0101000020E61000005176E91585D556C0BFF7922122004840,2025-10-22 23:45:02.506891+00
195,42.91116530,-115.71508340,Bruneau Dunes State Park,Parks,"42.9111653,-115.7150834",0101000020E6100000663A2AEDC3ED5CC001608610A1744540,2025-10-22 23:45:02.506891+00
196,37.58385370,-112.19081240,Bryce Canyon National Park,Parks,"37.5838537,-112.1908124",0101000020E6100000F66A3645360C5CC00593D1B7BBCA4240,2025-10-22 23:45:02.506891+00
197,42.30507730,2.71153630,Albanyà,Parks,"42.3050773,2.7115363",0101000020E6100000B35593F139B105404120E1C50C274540,2025-10-22 23:45:02.506891+00
198,35.98289120,-92.75480410,Buffalo National River,Parks,"35.9828912,-92.7548041",0101000020E6100000C018DBB54E3057C05AC3FB60CFFD4140,2025-10-22 23:45:02.506891+00
199,48.05563080,20.40379010,Bükk National Park,Parks,"48.0556308,20.4037901",0101000020E6100000D5F2B9C95E6734403E53F9E81E074840,2025-10-22 23:45:02.506891+00
200,34.57522800,-111.86290250,"Camp Verde, Arizona",Communities,"34.575228,-111.8629025",0101000020E6100000BF4868CB39F75BC02BDF3312A1494140,2025-10-22 23:45:02.506891+00
201,38.22695330,-109.90059070,Canyonlands National Park,Parks,"38.2269533,-109.9005907",0101000020E61000003BE52C47A3795BC0119C44CE0C1D4340,2025-10-22 23:45:02.506891+00
202,34.62274690,-76.52462070,Cape Lookout National Seashore,Parks,"34.6227469,-76.5246207",0101000020E61000007F53B362932153C0BB97A02BB64F4140,2025-10-22 23:45:02.506891+00
203,38.12026450,-111.14567160,Capitol Reef National Park,Parks,"38.1202645,-111.1456716",0101000020E61000002F7DF9AE52C95BC0552FBFD3640F4340,2025-10-22 23:45:02.506891+00
204,36.78162310,-103.97212630,Capulin Volcano National Monument,Parks,"36.7816231,-103.9721263",0101000020E610000037853A5137FE59C02926CA390C644240,2025-10-22 23:45:02.506891+00
205,-35.44418350,138.33370330,Carrickalinga,Communities,"-35.4441835,138.3337033",0101000020E610000027028BB2AD4A61401FF64201DBB841C0,2025-10-22 23:45:02.506891+00
206,37.63626960,-112.85398920,Cedar Breaks National Monument,Parks,"37.6362696,-112.8539892",0101000020E6100000C84851C2A7365CC031B8414871D14240,2025-10-22 23:45:02.506891+00
207,45.49451400,-114.14326100,Central Idaho,Reserves,"45.494514,-114.143261",0101000020E6100000B4722F302B895CC003B5183C4CBF4640,2025-10-22 23:45:02.506891+00
208,44.15215720,6.99922290,Alpes Azur Mercantour,Reserves,"44.1521572,6.9992229",0101000020E610000039A8B34934FF1B40EBEC1AE379134640,2025-10-22 23:45:02.506891+00
209,44.28210910,3.65622690,Cévennes National Park,Reserves,"44.2821091,3.6562269",0101000020E6100000300B92E3F33F0D40B633A7261C244640,2025-10-22 23:45:02.506891+00
